departure_time,trip_id,route_id,service_id,trip_headsign,route_long_name
12:10,727402_10667_20251002,154_154120_1_20251002,2,八代産交,４：松橋駅→宮原～八代駅→八代産交
12:47,727404_14983_20251002,100_100140_1_20251002,4,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
12:47,727403_12603_20251002,100_100140_1_20251002,3,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
12:47,727405_17370_20251002,100_100140_1_20251002,5,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
12:47,727402_10213_20251002,100_100140_1_20251002,2,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
12:47,727401_7826_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:00,727406_4135_20251002,154_154110_1_20251002,6,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:00,727401_8278_20251002,154_154120_1_20251002,1,八代産交,４：松橋駅→宮原～八代駅→八代産交
13:00,727403_13046_20251002,154_154120_1_20251002,3,八代産交,４：松橋駅→宮原～八代駅→八代産交
13:00,727302_9721_20251002,50_50120_1_20251002,2,三角産交,松橋駅→大口～三角病院→三角産交
13:00,727407_5573_20251002,100_100140_1_20251002,7,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:00,727304_14489_20251002,50_50120_1_20251002,4,三角産交,松橋駅→大口～三角病院→三角産交
13:00,727404_15435_20251002,154_154120_1_20251002,4,八代産交,４：松橋駅→宮原～八代駅→八代産交
13:00,727303_12111_20251002,50_50120_1_20251002,3,三角産交,松橋駅→大口～三角病院→三角産交
13:00,727405_17825_20251002,154_154120_1_20251002,5,八代産交,４：松橋駅→宮原～八代駅→八代産交
13:00,727407_5894_20251002,154_154110_1_20251002,7,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:00,727301_7332_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
13:00,727402_10668_20251002,154_154120_1_20251002,2,八代産交,４：松橋駅→宮原～八代駅→八代産交
13:00,727305_16878_20251002,50_50120_1_20251002,5,三角産交,松橋駅→大口～三角病院→三角産交
13:00,727306_3443_20251002,50_50120_1_20251002,6,三角産交,松橋駅→大口～三角病院→三角産交
13:10,727406_3801_20251002,100_100140_1_20251002,6,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:20,727407_5907_20251002,154_154120_1_20251002,7,八代産交,４：松橋駅→宮原～八代駅→八代産交
